airport_id,AIRPORT,orig_pm
14119,PIP,17049
14120,PIR,6106975
14122,PIT,3461540315
14125,PIZ,260951
14130,PKA,8194
14131,PKB,1220994
14150,PLN,5408896
14167,PML,130178
14182,PNE,48125
14193,PNS,673982572
14197,POB,875221
14212,POU,2562
14218,PPC,202400
14222,PPG,79703385
14229,PPV,2121
14231,PQI,9915810
14234,PQS,258260
14236,PRB,4493
14237,PRC,11368428
14252,PSC,233608155
14254,PSE,185302770
14255,PSF,21656
14256,PSG,12823341
14259,PSM,61793518
14262,PSP,1401955508
14268,PTA,14450
14270,PTD,7508
14273,PTH,55978
14275,PTK,338255
14276,PTL,1102
14282,PTU,51595
14288,PUB,462211
14295,PUL,592
14303,PUW,17382832
14306,PVC,356384
14307,PVD,1236513447
14314,PVU,292771164
14318,PWA,22601
14320,PWK,145336
14321,PWM,681288152
14332,PYM,16708
14344,QAJ,595
14400,QMN,636
14412,QQB,2211
14417,QQG,666
14457,RAP,200243302
14468,RBH,169992
14470,RBN,1428560
14474,RBY,310204
14475,RCA,68361
14477,RCE,226430
14485,RDB,7788910
14487,RDD,30918595
14488,RDG,17251
14489,RDM,290728082
14492,RDU,5450266579
14493,RDV,2399
14512,RFD,141650148
14520,RHI,3987340
14524,RIC,1497290298
14530,RIL,387720
14533,RIV,3503203
14534,RIW,4544409
14539,RKD,1053336
14543,RKS,4201512
14551,RLU,1204
14553,RME,16261
14557,RMN,6818
14559,RMP,45369
14570,RNO,1380438333
14572,RNT,148955
14574,ROA,113685670
14576,ROC,628907380
14577,ROG,37998
14582,ROP,777755
14583,ROR,13463560
14588,ROW,19523223
14614,RQV,3188
14618,RQZ,23644
14627,RSH,151525
14628,RSJ,73893
14633,RST,20465527
14635,RSW,5096978862
14648,RUT,663345
14656,RWI,26622
14670,SAA,14940
14672,SAC,17101
14673,SAD,6015
14674,SAF,62887980
14679,SAN,15053455668
14683,SAT,4412699634
14685,SAV,1089228393
14689,SBA,391071386
14691,SBD,9719113
14695,SBM,21672
14696,SBN,267618227
14698,SBP,227085819
14704,SBY,15965816
14706,SC1,6808
14709,SCC,50070386
14711,SCE,46915557
14712,SCF,680749
14713,SCH,730
14716,SCK,27930225
14718,SCM,459977
14730,SDF,1473127315
14736,SDM,44380
14738,SDP,1386415
14744,SDX,588
14745,SDY,1960980
14747,SEA,39778752695
14749,SEE,3856
14750,SEF,10640
14751,SEG,181
14761,SFB,1247457852
14764,SFF,1627
14769,SFM,524
14771,SFO,59709487893
14783,SGF,386090471
14785,SGH,755
14792,SGR,39282
14794,SGU,50029247
14797,SGY,396048
14802,SHD,2229247
14804,SHG,212762
14805,SHH,432249
14810,SHN,5020
14812,SHR,9582427
14814,SHV,142147804
14816,SHX,34388
14819,SIG,708616
14828,SIT,53013696
14831,SJC,5802288376
14842,SJT,12541717
14843,SJU,8169373076
14853,SKF,114840
14855,SKJ,3224
14856,SKK,149719
14863,SKW,6348
14869,SLC,13085010834
